id;abbr;description;y;x;z;agency;station;canton;municipality
2175;TRLI;Zürich Triemli;679824;246552;481;SZU;1;ZH;Zürich
2177;UIWA;Uitikon Waldegg;677594;246631;621;SZU;1;ZH;Uitikon
2178;RILI;Ringlikon;678454;246016;683;SZU;1;ZH;Zürich
2179;UEBE;Uetliberg;679251;245116;812.8;SZU;1;ZH;Zürich
2180;SHF;Zürich Schweighof;680439;246560;453;SZU;1;ZH;Zürich
2181;FRIB;Zürich Friesenberg;680731;246552;443;SZU;1;ZH;Zürich
2182;BORR;Borrweg;681062;246484;435;SZU;0;ZH;Zürich
2176;BGF;Berghof;678715;246950;543.3;SZU;0;ZH;Zürich
